Participant,Plate,Correction,Result
Alice,plate1.png,False,Correct
Alice,plate1.png,True,Correct
Alice,plate2.png,False,Incorrect
Alice,plate2.png,True,Correct
Alice,plate3.png,False,Incorrect
Alice,plate3.png,True,Incorrect
Bob,plate1.png,False,Correct
Bob,plate1.png,True,Correct
Bob,plate2.png,False,Correct
Bob,plate2.png,True,Correct
Bob,plate3.png,False,Incorrect
Bob,plate3.png,True,Correct
Charlie,plate1.png,False,Correct
Charlie,plate1.png,True,Correct
Charlie,plate2.png,False,Incorrect
Charlie,plate2.png,True,Correct
Charlie,plate3.png,False,Incorrect
Charlie,plate3.png,True,Incorrect
David,plate1.png,False,Incorrect
David,plate1.png,True,Correct
David,plate2.png,False,Incorrect
David,plate2.png,True,Correct
David,plate3.png,False,Incorrect
David,plate3.png,True,Correct
Eve,plate1.png,False,Correct
Eve,plate1.png,True,Correct
Eve,plate2.png,False,Incorrect
Eve,plate2.png,True,Correct
Eve,plate3.png,False,Incorrect
Eve,plate3.png,True,Correct
Frank,plate1.png,False,Correct
Frank,plate1.png,True,Correct
Frank,plate2.png,False,Correct
Frank,plate2.png,True,Incorrect
Frank,plate3.png,False,Correct
Frank,plate3.png,True,Correct
Grace,plate1.png,False,Correct
Grace,plate1.png,True,Correct
Grace,plate2.png,False,Incorrect
Grace,plate2.png,True,Incorrect
Grace,plate3.png,False,Correct
Grace,plate3.png,True,Correct
Heidi,plate1.png,False,Correct
Heidi,plate1.png,True,Correct
Heidi,plate2.png,False,Correct
Heidi,plate2.png,True,Correct
Heidi,plate3.png,False,Incorrect
Heidi,plate3.png,True,Incorrect
Ivan,plate1.png,False,Correct
Ivan,plate1.png,True,Incorrect
Ivan,plate2.png,False,Incorrect
Ivan,plate2.png,True,Incorrect
Ivan,plate3.png,False,Incorrect
Ivan,plate3.png,True,Correct
Judy,plate1.png,False,Correct
Judy,plate1.png,True,Correct
Judy,plate2.png,False,Correct
Judy,plate2.png,True,Correct
Judy,plate3.png,False,Incorrect
Judy,plate3.png,True,Correct
Kevin,plate1.png,False,Correct
Kevin,plate1.png,True,Correct
Kevin,plate2.png,False,Incorrect
Kevin,plate2.png,True,Correct
Kevin,plate3.png,False,Correct
Kevin,plate3.png,True,Incorrect
Mallory,plate1.png,False,Correct
Mallory,plate1.png,True,Correct
Mallory,plate2.png,False,Incorrect
Mallory,plate2.png,True,Correct
Mallory,plate3.png,False,Correct
Mallory,plate3.png,True,Correct
Niaj,plate1.png,False,Correct
Niaj,plate1.png,True,Correct
Niaj,plate2.png,False,Incorrect
Niaj,plate2.png,True,Incorrect
Niaj,plate3.png,False,Incorrect
Niaj,plate3.png,True,Correct
Olivia,plate1.png,False,Correct
Olivia,plate1.png,True,Correct
Olivia,plate2.png,False,Incorrect
Olivia,plate2.png,True,Correct
Olivia,plate3.png,False,Incorrect
Olivia,plate3.png,True,Incorrect
Peggy,plate1.png,False,Correct
Peggy,plate1.png,True,Correct
Peggy,plate2.png,False,Incorrect
Peggy,plate2.png,True,Correct
Peggy,plate3.png,False,Incorrect
Peggy,plate3.png,True,Correct
Sybil,plate1.png,False,Correct
Sybil,plate1.png,True,Correct
Sybil,plate2.png,False,Incorrect
Sybil,plate2.png,True,Correct
Sybil,plate3.png,False,Incorrect
Sybil,plate3.png,True,Correct
Trent,plate1.png,False,Correct
Trent,plate1.png,True,Incorrect
Trent,plate2.png,False,Incorrect
Trent,plate2.png,True,Correct
Trent,plate3.png,False,Incorrect
Trent,plate3.png,True,Correct
Victor,plate1.png,False,Correct
Victor,plate1.png,True,Correct
Victor,plate2.png,False,Incorrect
Victor,plate2.png,True,Correct
Victor,plate3.png,False,Correct
Victor,plate3.png,True,Correct
Walter,plate1.png,False,Correct
Walter,plate1.png,True,Correct
Walter,plate2.png,False,Incorrect
Walter,plate2.png,True,Correct
Walter,plate3.png,False,Incorrect
Walter,plate3.png,True,Correct
Xavier,plate1.png,False,Correct
Xavier,plate1.png,True,Correct
Xavier,plate2.png,False,Incorrect
Xavier,plate2.png,True,Incorrect
Xavier,plate3.png,False,Incorrect
Xavier,plate3.png,True,Correct
